Class,Type,Displacement,Country,First commissioned,YEAR
Kountouriotis,DD,1389,Hellenic Navy,1933,1933
Hunt,DD,1050,Polish Navy,28 May 1941,1941
Krasnoye Znamya,GB,1735,Soviet Navy,1897,1897
Kraznyi Kavkaz,C,7560,Soviet Navy,25 January 1932,1932
Krasnyi Krym,C,6800,Soviet Navy,1 July 1928,1928
Commencement Bay,CVE,10900,USA,12 May 1945,1945
Kuma,CL,5550,JPN,31 August 1920,1920
Mogami,CA,13440,JPN,31 October 1931,1931
Type J1,cruiser submarine,2791,JPN,10 March 1926,1926
Type J1,cruiser submarine,2791,JPN,24 December 1929,1929
Type J1 Modified,submarine aircraft carrier,2921,JPN,31 July 1932,1932
Type J2,submarine aircraft carrier,2921,JPN,15 May 1935,1935
Type J3,submarine aircraft carrier,3583,JPN,31 March 1937,1937
Type J3,submarine aircraft carrier,3583,JPN,5 December 1938,1938
Type A1,submarine aircraft carrier,4129,JPN,13 February 1941,1941
Type A1,submarine aircraft carrier,4129,JPN,16 May 1942,1942
Type A2,SS,4150,JPN,25 May 1944,1944
Type A3,submarine aircraft carrier,4762,JPN,16 December 1944,1944
Type A3,submarine aircraft carrier,4762,JPN,14 March 1945,1945
Type B1,submarine aircraft carrier,3654,JPN,30 September 1940,1940
Type C1,midget submarine-carrying submarine,3561,JPN,30 March 1940,1940
Type B1,submarine aircraft carrier,3654,JPN,24 January 1941,1941
Type C1,midget submarine-carrying submarine,3561,JPN,31 January 1941,1941
Type B1,submarine aircraft carrier,3654,JPN,24 February 1942,1942
Type B1,submarine aircraft carrier,3654,JPN,10 March 1943,1943
Type B2,SS,3700,JPN,31 July 1943,1943
Type B2,SS,3700,JPN,31 January 1944,1944
Type C2,SS,3621,JPN,29 February 1944,1944
Type C3,transport submarine,3644,JPN,28 December 1943,1943
Type C3,SS,3644,JPN,20 February 1944,1944
Type B3,submarine aircraft carrier,3747,JPN,31 March 1944,1944
Type C3,transport submarine,3644,JPN,20 April 1944,1944
KD3 type,cruiser submarine,2300,JPN,24 December 1929,1929
KD4 type,cruiser submarine,2300,JPN,30 August 1930,1930
KD6 type,cruiser submarine,2440,JPN,9 November 1935,1935
KD6 type,cruiser submarine,2440,JPN,7 January 1937,1937
Kiraisen type,minelayer submarine,1768,JPN,31 March 1927,1927
Kiraisen type,minelayer submarine,1768,JPN,28 October 1928,1928
KD2 type,training submarine,2500,JPN,1 November 1924,1924
KD3A type,SS,2300,JPN,30 March 1927,1927
KD3B type,SS,2300,JPN,31 March 1929,1929
KD3B type,SS,2300,JPN,15 May 1928,1928
KD3A type,SS,2300,JPN,24 December 1929,1929
KD3B type,SS,2300,JPN,31 March 1930,1930
KD4 type,SS,2300,JPN,24 April 1930,1930
KD5 type,SS,2330,JPN,1 December 1932,1932
KD6 type,cruiser submarine,2440,JPN,31 July 1934,1934
KD6 type,cruiser submarine,2440,JPN,15 August 1938,1938
KD7 type,cruiser submarine,2602,JPN,4 August 1942,1942
KD7 type,cruiser submarine,2602,JPN,18 June 1943,1943
Sentaka type,SS,1479,JPN,2 February 1945,1945
Senho type,submarine tanker,4290,JPN,28 January 1945,1945
Type D1,transport submarine/kaiten carrier,2215,JPN,25 May 1944,1944
Type D1,transport submarine,2215,JPN,23 May 1944,1944
Type D2,transport/tanker submarine,2240,JPN,14 April 1945,1945
Sentoku type,submarine aircraft carrier,6560,JPN,30 December 1944,1944
Sentoku type,submarine aircraft carrier,6560,JPN,8 January 1945,1945
Sentoku type,submarine tanker,6560,JPN,24 July 1945,1945
Type IXD2,SS,1771,JPN,16 July 1945,1945
Marcello-class,SS,1313,JPN,10 May 1945,1945
Marconi-class,SS,1400,JPN,10 May 1945,1945
Type X,minelayer submarine,2143,JPN,15 July 1945,1945
Type IXD1,SS,1771,JPN,15 July 1945,1945
I,minelayer destroyer,1370,ENG,3 May 1937,1937
Illustrious,CV,23000,ENG,25 May 1940,1940
Väinämöinen,coastal defence ship,3900,Finland,17 April 1934,1934
Implacable,CV,23825,ENG,28 August 1944,1944
I,minelayer destroyer,1370,ENG,29 January 1938,1938
South Dakota,BB,35000,USA,30 April 1942,1942
Portland,CA,9800,USA,15 November 1932,1932
Illustrious,CV,23000,ENG,10 October 1941,1941
Grimsby,SL,1210,Royal Indian Navy,15 March 1935,1935
Ingolf,PB,1180,Royal Danish Navy,1934,1934
Flower modified,K,1015,USA,31 March 1943,1943
Investigator,survey ship,1572,Indian Navy,,
Iowa,BB,45000,USA,22 February 1943,1943
Irene Forsyte,Q-ship,283,USA,26 August 1943,1943
Tribal,DD,2020,Royal Canadian Navy,30 November 1942,1942
Gerard Callenburgh,DD,1606,Royal Netherlands Navy,29 May 1941,1941
Ise,dreadnought,36000,JPN,1917,1917
Izumo,armored cruiser,9750,JPN,18 March 1901,1901
Izumo,armored cruiser,9750,JPN,25 September 1900,1900
H,SS,518,ENG,29 June 1918,1918
H,SS,518,ENG,21 February 1919,1919
H,SS,518,ENG,15 April 1920,1920
Ha-101,transport submarine,493,JPN,22 November 1944,1944
Ha-101,transport submarine,493,JPN,3 February 1945,1945
Ha-201,SS,440,JPN,31 May 1945,1945
Myoko,CA,13300,JPN,25 April 1929,1929
Hai Chao,SL,1250,Republic of China Navy,,
gunship,,2680,Republic of China Navy,,
Hai Chi,C,4300,Republic of China Navy,,
Hai Yung,protected cruiser,2680,Republic of China Navy,,
Tribal,DD,2020,Royal Canadian Navy,30 August 1943,1943
Hunt,DD,1000,ENG,8 June 1940,1940
Town,DD,1060,Royal Navy  Royal Canadian Navy,23 September 1940,1940
Ticonderoga,CV,27100,USA,15 April 1944,1944
Hansa,MC,9138,Nazi Germany,2 February 1944,1944
Gato,SS,"1,525 surfaced",USA,2 December 1942,1942
H,DD,1455,ENG,11 December 1936,1936
V,DD,1710,ENG,August 1943,1943
Kongō,battlecruiser,31660,JPN,,
Havant,DD,1340,ENG,23 May 1940,1940
H,DD,1350,ENG,11 November 1936,1936
Havant,DD,1340,ENG,19 December 1939,1939
H,DD,1350,ENG,16 January 1937,1937
Hekla,light cruiser hulk,1322,Royal Danish Navy,,
St. Louis,CL,10000,USA,18 September 1939,1939
Hermes,CV,10850,ENG,7 July 1923,1923
H,DD,1350,Royal Navy  Royal Canadian Navy,23 October 1936,1936
Hunt,DE,1050,ENG,,
Folkestone,SL,1045,Royal Indian Navy,10 October 1930,1930
Kongō,battlecruiser,36600,JPN,1914,1914
Sōryū,CV,17300,JPN,5 July 1939,1939
Hiyō,CV,24140,JPN,31 July 1942,1942
modified Leander,CL,6980,Royal Australian Navy,28 September 1938,1938
Fletcher,DD,2100,USA,19 July 1943,1943
Brooklyn,CL,9650,USA,15 June 1938,1938
Admiral,battlecruiser,42100,ENG,5 March 1920,1920
Yorktown,CV,26500,USA,25 October 1941,1941
Hōshō,CV,7470,JPN,27 December 1922,1922
Northampton,CA,9200,USA,17 June 1930,1930
Cannon,DE,1240,Free French Naval Forces,18 March 1944,1944
King George V,BB,35000,ENG,28 September 1942,1942
Huáscar,ironclad,1870,CHL,1866,1866
Humaytá,SS,1440,Brazil,20 July 1929,1929
Tribal,DD,1927,Royal Canadian Navy,19 July 1943,1943
Hunt,DD,1050,Royal Navy  Hellenic Navy,2 April 1942,1942
Hunt,DD,1050,ENG,5 October 1941,1941
Hvidbjørnen,PB,1050,Royal Danish Navy,,
Flower,K,925,Royal Navy  Hellenic Navy,2 October 1940,1940
Serrano,DD,1090,CHL,,
Kountouriotis,DD,1350,Hellenic Navy,1933,1933
Ise,BB,36000,JPN,11 April 1913,1913
L,SS,,,31 October 1924,1924
L,training submarine,,,,
La Argentina,training light cruiser,,,April 1939,1939
Flower,K,,,22 June 1940,1940
La Galissonnière,CL,,,1 January 1936,1936
River,FF,,,6 December 1945,1945
Flower,K,,,28 April 1942,1942
Mendoza,DD,,,23 July 1929,1929
Flower modified,K,,,26 October 1944,1944
Benson,DD,,,31 March 1942,1942
Sumner,DD,,,8 February 1944,1944
L,DD,,,26 August 1941,1941
Battle,DD,,,2 November 1945[5],1945
Basset,AM,,,1941–1944,1941
Ticonderoga,CV,,,3 June 1945,1945
Wickes,DAM,,,22 August 1918,1918
Lambridge,Special Service Ship,,,,
Hunt,DD,,,16 August 1941,1941
Duguay-Trouin,CL,,,5 March 1927,1927
Mahan,DD,,,21 October 1936,1936
Benham,DD,,,30 March 1939,1939
Langley,Seaplane carrier,,,7 April 1913,1913
Independence,CVL,,,31 August 1943,1943
Gleaves,DD,,,29 April 1942,1942
Abdiel,CM,,,4 May 1941,1941
Hunt,DD,,,August 1942,1942
Captain,FF,,,3 November 1943,1943
Lawrence,SL,,,27 December 1919,1919
Town,DD,,,23 October 1940,1940
Leander,CL,,,23 July 1931,1931
Town,DD,,,12 January 1918,1918
Leipzig,CL,,,8 October 1931,1931
